Year,Month,Price_alum
1992,Feb,1266.83
1992,Mar,1280.47
1992,Apr,1317.05
1992,May,1306.79
1992,Jun,1275.55
1992,Jul,1313.05
1992,Aug,1305.05
1992,Sep,1269.61
1992,Oct,1173.78
1992,Nov,1159.05
1992,Dec,1207.1
1993,Jan,1206.76
1993,Feb,1201.85
1993,Mar,1151.33
1993,Apr,1108.53
1993,May,1123.96
1993,Jun,1165.3
1993,Jul,1202.13
1993,Aug,1172.14
1993,Sep,1115.38
1993,Oct,1087.1
1993,Nov,1039.81
1993,Dec,1094.3
1994,Jan,1174.59
1994,Feb,1269.93
1994,Mar,1289.03
1994,Apr,1278.72
1994,May,1322.59
1994,Jun,1400.58
1994,Jul,1492.42
1994,Aug,1455.36
1994,Sep,1569.22
1994,Oct,1698.05
1994,Nov,1892.59
1994,Dec,1878.31
1995,Jan,2060.55
1995,Feb,1916.15
1995,Mar,1805.07
1995,Apr,1849
1995,May,1762.69
1995,Jun,1780.05
1995,Jul,1860.1
1995,Aug,1888.32
1995,Sep,1760.83
1995,Oct,1674.32
1995,Nov,1654.07
1995,Dec,1656.74
1996,Jan,1589.34
1996,Feb,1591.55
1996,Mar,1612.48
1996,Apr,1587.23
1996,May,1589.26
1996,Jun,1482.48
1996,Jul,1458.7
1996,Aug,1463.36
1996,Sep,1407.38
1996,Oct,1336.34
1996,Nov,1449.52
1996,Dec,1500.29
1997,Jan,1575.61
1997,Feb,1580.01
1997,Mar,1631.57
1997,Apr,1561.44
1997,May,1625.25
1997,Jun,1567.55
1997,Jul,1591.99
1997,Aug,1710.58
1997,Sep,1610.6
1997,Oct,1607.86
1997,Nov,1598.99
1997,Dec,1530.51
1998,Jan,1485.79
1998,Feb,1465.56
1998,Mar,1437.7
1998,Apr,1418.16
1998,May,1364.72
1998,Jun,1307.24
1998,Jul,1309.21
1998,Aug,1310.9
1998,Sep,1342.27
1998,Oct,1304.06
1998,Nov,1294.96
1998,Dec,1249.06
1999,Jan,1218.46
1999,Feb,1186.85
1999,Mar,1181.59
1999,Apr,1278.2
1999,May,1323.46
1999,Jun,1315.31
1999,Jul,1403.76
1999,Aug,1431.32
1999,Sep,1492.48
1999,Oct,1474.41
1999,Nov,1472.76
1999,Dec,1554.48
2000,Jan,1680.28
2000,Feb,1670.27
2000,Mar,1577.05
2000,Apr,1457.14
2000,May,1466.79
2000,Jun,1506.31
2000,Jul,1563.5
2000,Aug,1527.63
2000,Sep,1601.21
2000,Oct,1500.24
2000,Nov,1473.86
2000,Dec,1565.41
2001,Jan,1615.65
2001,Feb,1604.36
2001,Mar,1509.17
2001,Apr,1496.91
2001,May,1538.77
2001,Jun,1466.13
2001,Jul,1416.39
2001,Aug,1377.08
2001,Sep,1344.56
2001,Oct,1282.5
2001,Nov,1327.46
2001,Dec,1344.63
2002,Jan,1368.59
2002,Feb,1369.34
2002,Mar,1405
2002,Apr,1369.99
2002,May,1343.3
2002,Jun,1353.97
2002,Jul,1338.09
2002,Aug,1291.6
2002,Sep,1301.25
2002,Oct,1310.58
2002,Nov,1372.2
2002,Dec,1375.07
2003,Jan,1378.28
2003,Feb,1422.16
2003,Mar,1389.27
2003,Apr,1332.01
2003,May,1398.49
2003,Jun,1409.85
2003,Jul,1436.09
2003,Aug,1456.31
2003,Sep,1415.57
2003,Oct,1474.25
2003,Nov,1508.34
2003,Dec,1554.91
2004,Jan,1606.49
2004,Feb,1685.63
2004,Mar,1655.99
2004,Apr,1729.74
2004,May,1623.22
2004,Jun,1677.72
2004,Jul,1709.27
2004,Aug,1692.19
2004,Sep,1723.6
2004,Oct,1819.57
2004,Nov,1813.9
2004,Dec,1849.18
2005,Jan,1834.43
2005,Feb,1882.85
2005,Mar,1979.85
2005,Apr,1894.29
2005,May,1743.7
2005,Jun,1731.3
2005,Jul,1778.79
2005,Aug,1867.84
2005,Sep,1839.91
2005,Oct,1928.71
2005,Nov,2050.59
2005,Dec,2247.45
2006,Jan,2377.86
2006,Feb,2455.33
2006,Mar,2429.13
2006,Apr,2621.11
2006,May,2861.48
2006,Jun,2477.34
2006,Jul,2512.71
2006,Aug,2459.93
2006,Sep,2472.88
2006,Oct,2654.59
2006,Nov,2702.8
2006,Dec,2813.63
2007,Jan,2809.34
2007,Feb,2832.2
2007,Mar,2761.73
2007,Apr,2814.79
2007,May,2792.75
2007,Jun,2676.93
2007,Jul,2732.44
2007,Aug,2515.77
2007,Sep,2391.25
2007,Oct,2442.37
2007,Nov,2506.89
2007,Dec,2381.69
2008,Jan,2445.52
2008,Feb,2776.93
2008,Mar,3005.29
2008,Apr,2959.27
2008,May,2902.9
2008,Jun,2957.86
2008,Jul,3071.24
2008,Aug,2764.38
2008,Sep,2525.82
2008,Oct,2121.41
2008,Nov,1852.43
2008,Dec,1490.43
2009,Jan,1413.12
2009,Feb,1330.2
2009,Mar,1335.84
2009,Apr,1420.85
2009,May,1460.45
2009,Jun,1573.73
2009,Jul,1667.96
2009,Aug,1933.75
2009,Sep,1834.11
2009,Oct,1878.57
2009,Nov,1949.29
2009,Dec,2180.1
2010,Jan,2235.15
2010,Feb,2048.93
2010,Mar,2205.63
2010,Apr,2316.73
2010,May,2040.53
2010,Jun,1931.39
2010,Jul,1988.27
2010,Aug,2118.14
2010,Sep,2162.34
2010,Oct,2346.57
2010,Nov,2333.07
2010,Dec,2350.67
2011,Jan,2439.53
2011,Feb,2508.18
2011,Mar,2555.5
2011,Apr,2678.11
2011,May,2596.45
2011,Jun,2557.76
2011,Jul,2525.43
2011,Aug,2379.35
2011,Sep,2293.46
2011,Oct,2180.65
2011,Nov,2079.98
2011,Dec,2022.25
2012,Jan,2144.2
2012,Feb,2207.92
2012,Mar,2184.16
2012,Apr,2049.67
2012,May,2007.63
2012,Jun,1890.18
2012,Jul,1876.25
2012,Aug,1845.38
2012,Sep,2064.12
2012,Oct,1974.3
2012,Nov,1948.83
2012,Dec,2086.76
2013,Jan,2037.75
2013,Feb,2053.6
2013,Mar,1909.57
2013,Apr,1861.67
2013,May,1832.02
2013,Jun,1814.54
2013,Jul,1769.61
2013,Aug,1817.62
2013,Sep,1761.3
2013,Oct,1814.58
2013,Nov,1747.96
2013,Dec,1739.81
2014,Jan,1727.41
2014,Feb,1695.17
2014,Mar,1705.37
2014,Apr,1810.67
2014,May,1751.05
2014,Jun,1838.95
2014,Jul,1948.3
2014,Aug,2030.49
2014,Sep,1990.43
2014,Oct,1946.19
2014,Nov,2055.55
2014,Dec,1909.46
2015,Jan,1814.72
2015,Feb,1817.82
2015,Mar,1773.86
2015,Apr,1819.19
2015,May,1804.04
2015,Jun,1687.73
2015,Jul,1639.5
2015,Aug,1548.13
2015,Sep,1589.6
2015,Oct,1516.49
2015,Nov,1467.89
2015,Dec,1497.2
2016,Jan,1481.1
2016,Feb,1531.26
2016,Mar,1531.01
2016,Apr,1571.23
2016,May,1550.63
2016,Jun,1593.51
2016,Jul,1629.05
2016,Aug,1639.28
2016,Sep,1592.36
2016,Oct,1665.9
2016,Nov,1737.11
2016,Dec,1727.74
2017,Jan,1791.24
2017,Feb,1860.75
2017,Mar,1901.47
2017,Apr,1921.22
2017,May,1913.02
2017,Jun,1885.29
2017,Jul,1902.96
2017,Aug,2030.01
2017,Sep,2096.49
2017,Oct,2131.49
2017,Nov,2097.44
2017,Dec,2080.47
2018,Jan,2209.73
2018,Feb,2181.79
2018,Mar,2069.24
2018,Apr,2254.69
2018,May,2299.67
2018,Jun,2237.62
2018,Jul,2082.24
2018,Aug,2051.51
2018,Sep,2026.46
2018,Oct,2029.86
2018,Nov,1938.51
2018,Dec,1920.38
2019,Jan,1853.72
2019,Feb,1862.99
2019,Mar,1871.21
2019,Apr,1845.42
2019,May,1781.26
2019,Jun,1755.95
2019,Jul,1796.99
2019,Aug,1740.68
2019,Sep,1753.51
2019,Oct,1725.96
2019,Nov,1774.79
2019,Dec,1771.38
2020,Jan,1773.09
2020,Feb,1688.1
2020,Mar,1610.89
2020,Apr,1459.93
2020,May,1466.37
2020,Jun,1568.57
2020,Jul,1643.81
2020,Aug,1737.26
2020,Sep,1743.77
2020,Oct,1806.1
2020,Nov,1935.28
2020,Dec,2014.67
2021,Jan,2003.98
2021,Feb,2078.59
2021,Mar,2190.48
2021,Apr,2319.39
2021,May,2433.53
2021,Jun,2446.65
2021,Jul,2497.64
2021,Aug,2602.99
2021,Sep,2834.56
2021,Oct,2934.39
2021,Nov,2636.45
2021,Dec,2695.53
2022,Jan,3005.98
